,sample,population,percentage,count,total_count
7,sample00007,cd8_t_cell,0.13720230838006992,13504,98424
7,sample00007,monocyte,0.18319718767780216,18031,98424
7,sample00007,nk_cell,0.22978135414126635,22616,98424
8,sample00008,b_cell,0.09771673325733513,8829,90353
8,sample00008,cd4_t_cell,0.23581950793000786,21307,90353
8,sample00008,cd8_t_cell,0.29013978506524407,26215,90353
8,sample00008,monocyte,0.18126680907108783,16378,90353
8,sample00008,nk_cell,0.19505716467632508,17624,90353
9,sample00009,b_cell,0.0798363615491385,7650,95821
9,sample00009,cd4_t_cell,0.22017094373884638,21097,95821
9,sample00009,cd8_t_cell,0.3478778138403899,33334,95821
9,sample00009,monocyte,0.1635967063587314,15676,95821
9,sample00009,nk_cell,0.18851817451289382,18064,95821
10,sample00010,b_cell,0.12277634674577122,13203,107537
10,sample00010,cd4_t_cell,0.2591945097966281,27873,107537
10,sample00010,cd8_t_cell,0.19843402735802562,21339,107537
10,sample00010,monocyte,0.29676297460408974,31913,107537
10,sample00010,nk_cell,0.12283214149548527,13209,107537
11,sample00011,b_cell,0.11825418916662027,10621,89815
11,sample00011,cd4_t_cell,0.3272393252797417,29391,89815
11,sample00011,cd8_t_cell,0.22029727773757168,19786,89815
11,sample00011,monocyte,0.18367755942771252,16497,89815
11,sample00011,nk_cell,0.15053164838835384,13520,89815
12,sample00012,b_cell,0.1289298131941339,14128,109579
12,sample00012,cd4_t_cell,0.3679537137590232,40320,109579
12,sample00012,cd8_t_cell,0.19821316128090236,21720,109579
12,sample00012,monocyte,0.17158397138137782,18802,109579
12,sample00012,nk_cell,0.13331934038456272,14609,109579
13,sample00013,b_cell,0.09755406985240392,10681,109488
13,sample00013,cd4_t_cell,0.2895020458863072,31697,109488
13,sample00013,cd8_t_cell,0.18261361975741633,19994,109488
13,sample00013,monocyte,0.2016020020458863,22073,109488
13,sample00013,nk_cell,0.22872826245798628,25043,109488
14,sample00014,b_cell,0.06579910445190734,6113,92904
14,sample00014,cd4_t_cell,0.2930229053646775,27223,92904
14,sample00014,cd8_t_cell,0.27825497287522605,25851,92904
14,sample00014,monocyte,0.26331481959872555,24463,92904
14,sample00014,nk_cell,0.09960819770946354,9254,92904
15,sample00015,b_cell,0.08044521915260344,8261,102691
15,sample00015,cd4_t_cell,0.3526793974155476,36217,102691
15,sample00015,cd8_t_cell,0.209589934853103,21523,102691
15,sample00015,monocyte,0.20388349514563106,20937,102691
15,sample00015,nk_cell,0.15340195343311488,15753,102691
16,sample00016,b_cell,0.07756929370512607,7433,95824
16,sample00016,cd4_t_cell,0.3535753047253298,33881,95824
16,sample00016,cd8_t_cell,0.2387815161128736,22881,95824
16,sample00016,monocyte,0.23164342962097179,22197,95824
16,sample00016,nk_cell,0.09843045583569879,9432,95824
17,sample00017,b_cell,0.0327051166374355,3226,98639
17,sample00017,cd4_t_cell,0.3690730846825292,36405,98639
17,sample00017,cd8_t_cell,0.206855300641734,20404,98639
17,sample00017,monocyte,0.18111497480712496,17865,98639
17,sample00017,nk_cell,0.2102515232311763,20739,98639
18,sample00018,b_cell,0.03538265280895543,3578,101123
18,sample00018,cd4_t_cell,0.3231213472701561,32675,101123
18,sample00018,cd8_t_cell,0.291921719094568,29520,101123
18,sample00018,monocyte,0.19592970936384402,19813,101123
18,sample00018,nk_cell,0.1536445714624764,15537,101123
19,sample00019,b_cell,0.08235716852317643,8022,97405
19,sample00019,cd4_t_cell,0.3157846106462707,30759,97405
19,sample00019,cd8_t_cell,0.2789897849186387,27175,97405
19,sample00019,monocyte,0.21011241722704174,20466,97405
19,sample00019,nk_cell,0.11275601868487244,10983,97405
20,sample00020,b_cell,0.06563952770806764,6382,97228
20,sample00020,cd4_t_cell,0.3366417081499157,32731,97228
20,sample00020,cd8_t_cell,0.1796704652980623,17469,97228
20,sample00020,monocyte,0.23234047805159008,22590,97228
20,sample00020,nk_cell,0.18570782079236434,18056,97228
21,sample00021,b_cell,0.10260049627791563,10337,100750
21,sample00021,cd4_t_cell,0.31300248138957815,31535,100750
21,sample00021,cd8_t_cell,0.190014888337469,19144,100750
21,sample00021,monocyte,0.26770223325062037,26971,100750
21,sample00021,nk_cell,0.12667990074441687,12763,100750
22,sample00022,b_cell,0.10319412970756447,9563,92670
22,sample00022,cd4_t_cell,0.35409517643250243,32814,92670
22,sample00022,cd8_t_cell,0.2419769073054926,22424,92670
22,sample00022,monocyte,0.17593611740584872,16304,92670
22,sample00022,nk_cell,0.12479766914859178,11565,92670
23,sample00023,b_cell,0.06596798780487804,6924,104960
23,sample00023,cd4_t_cell,0.28433689024390246,29844,104960
23,sample00023,cd8_t_cell,0.26753048780487804,28080,104960
23,sample00023,monocyte,0.23170731707317074,24320,104960
23,sample00023,nk_cell,0.15045731707317073,15792,104960
24,sample00024,b_cell,0.07554341845972251,7552,99969
24,sample00024,cd4_t_cell,0.35280937090498055,35270,99969
24,sample00024,cd8_t_cell,0.27829627184427175,27821,99969
24,sample00024,monocyte,0.09647990877171923,9645,99969
24,sample00024,nk_cell,0.19687103001930598,19681,99969
25,sample00025,b_cell,0.12261603198861139,11714,95534
25,sample00025,cd4_t_cell,0.31740532166558505,30323,95534
25,sample00025,cd8_t_cell,0.22407729185420897,21407,95534
25,sample00025,monocyte,0.12340109280465593,11789,95534
25,sample00025,nk_cell,0.21250026168693867,20301,95534
26,sample00026,b_cell,0.08285914154755317,7936,95777
26,sample00026,cd4_t_cell,0.360681583261117,34545,95777
26,sample00026,cd8_t_cell,0.24834772440147426,23786,95777
26,sample00026,monocyte,0.16267997535942869,15581,95777
26,sample00026,nk_cell,0.14543157543042692,13929,95777
27,sample00027,b_cell,0.0949937744193036,8850,93164
27,sample00027,cd4_t_cell,0.279925722382036,26079,93164
27,sample00027,cd8_t_cell,0.22828560388132754,21268,93164
27,sample00027,monocyte,0.20153707440642307,18776,93164
27,sample00027,nk_cell,0.1952578249109098,18191,93164
28,sample00028,b_cell,0.10735230336972713,11386,106062
28,sample00028,cd4_t_cell,0.2677679093360487,28400,106062
28,sample00028,cd8_t_cell,0.26545793969564974,28155,106062
28,sample00028,monocyte,0.27579151816861835,29251,106062
28,sample00028,nk_cell,0.08363032942995606,8870,106062
29,sample00029,b_cell,0.057701016921240064,5606,97156
29,sample00029,cd4_t_cell,0.3222137593149162,31305,97156
29,sample00029,cd8_t_cell,0.29309564000164684,28476,97156
29,sample00029,monocyte,0.16374696364609495,15909,97156
29,sample00029,nk_cell,0.16324262011610194,15860,97156
30,sample00030,b_cell,0.06824373217554165,6413,93972
30,sample00030,cd4_t_cell,0.21747967479674796,20437,93972
30,sample00030,cd8_t_cell,0.2678138168816243,25167,93972
30,sample00030,monocyte,0.20897714212744223,19638,93972
30,sample00030,nk_cell,0.23748563401864384,22317,93972
31,sample00031,b_cell,0.06571629542790153,7007,106625
31,sample00031,cd4_t_cell,0.296862837045721,31653,106625
31,sample00031,cd8_t_cell,0.2858804220398593,30482,106625
31,sample00031,monocyte,0.21867291910902698,23316,106625
31,sample00031,nk_cell,0.13286752637749122,14167,106625
32,sample00032,b_cell,0.10969148652781752,11118,101357
32,sample00032,cd4_t_cell,0.32145781741764257,32582,101357
32,sample00032,cd8_t_cell,0.19440196533046558,19704,101357
32,sample00032,monocyte,0.17117712639482227,17350,101357
32,sample00032,nk_cell,0.20327160432925204,20603,101357
33,sample00033,b_cell,0.09721789737037077,9054,93131
33,sample00033,cd4_t_cell,0.2673331114236935,24897,93131
33,sample00033,cd8_t_cell,0.34015526516412364,31679,93131
33,sample00033,monocyte,0.12812060431005787,11932,93131
33,sample00033,nk_cell,0.1671731217317542,15569,93131
34,sample00034,b_cell,0.08038894772311543,8350,103870
34,sample00034,cd4_t_cell,0.353480311928372,36716,103870
34,sample00034,cd8_t_cell,0.2553769134495042,26526,103870
34,sample00034,monocyte,0.2049099836333879,21284,103870
34,sample00034,nk_cell,0.10584384326562049,10994,103870
35,sample00035,b_cell,0.056297689755025256,5327,94622
35,sample00035,cd4_t_cell,0.404387985880662,38264,94622
35,sample00035,cd8_t_cell,0.29690769588467797,28094,94622
35,sample00035,monocyte,0.16579653780304793,15688,94622
35,sample00035,nk_cell,0.07661009067658683,7249,94622
36,sample00036,b_cell,0.0834041648958776,8635,103532
36,sample00036,cd4_t_cell,0.3070258470810957,31787,103532
36,sample00036,cd8_t_cell,0.2845303867403315,29458,103532
36,sample00036,monocyte,0.16568790325696403,17154,103532
36,sample00036,nk_cell,0.15935169802573118,16498,103532
37,sample00037,b_cell,0.0965161094751429,8915,92368
37,sample00037,cd4_t_cell,0.26593625498007967,24564,92368
37,sample00037,cd8_t_cell,0.2274813788324961,21012,92368
37,sample00037,monocyte,0.25452537675385417,23510,92368
37,sample00037,nk_cell,0.15554087995842716,14367,92368
38,sample00038,b_cell,0.12196527700536922,12062,98897
38,sample00038,cd4_t_cell,0.33478265265882684,33109,98897
38,sample00038,cd8_t_cell,0.19134048555567915,18923,98897
38,sample00038,monocyte,0.2065482269431833,20427,98897
38,sample00038,nk_cell,0.14536335783694146,14376,98897
39,sample00039,b_cell,0.13580682282193102,14634,107756
39,sample00039,cd4_t_cell,0.3299398641374958,35553,107756
39,sample00039,cd8_t_cell,0.24952670848955047,26888,107756
39,sample00039,monocyte,0.1745517650989272,18809,107756
39,sample00039,nk_cell,0.11017483945209547,11872,107756
40,sample00040,b_cell,0.10389549097156017,11007,105943
40,sample00040,cd4_t_cell,0.24420679044391796,25872,105943
40,sample00040,cd8_t_cell,0.24280037378590374,25723,105943
40,sample00040,monocyte,0.23612697393881615,25016,105943
40,sample00040,nk_cell,0.17297037085980196,18325,105943
41,sample00041,b_cell,0.1267869261586287,11583,91358
41,sample00041,cd4_t_cell,0.2472252019527573,22586,91358
41,sample00041,cd8_t_cell,0.2574158803826704,23517,91358
41,sample00041,monocyte,0.21061100286783863,19241,91358
41,sample00041,nk_cell,0.15796098863810504,14431,91358
42,sample00042,b_cell,0.10855407548082521,12118,111631
42,sample00042,cd4_t_cell,0.3708915982119662,41403,111631
42,sample00042,cd8_t_cell,0.20014153774489166,22342,111631
42,sample00042,monocyte,0.15325492022825202,17108,111631
42,sample00042,nk_cell,0.1671578683340649,18660,111631
43,sample00043,b_cell,0.04531275339368674,4750,104827
43,sample00043,cd4_t_cell,0.3471624676848522,36392,104827
43,sample00043,cd8_t_cell,0.22468448014347447,23553,104827
43,sample00043,monocyte,0.23241149703797687,24363,104827
43,sample00043,nk_cell,0.15042880174000972,15769,104827
44,sample00044,b_cell,0.14894279193466248,15793,106034
44,sample00044,cd4_t_cell,0.3491804515532754,37025,106034
44,sample00044,cd8_t_cell,0.23908369013712583,25351,106034
44,sample00044,monocyte,0.1310240111662297,13893,106034
44,sample00044,nk_cell,0.13176905520870663,13972,106034
45,sample00045,b_cell,0.13201497037512083,13792,104473
45,sample00045,cd4_t_cell,0.3227053879949843,33714,104473
45,sample00045,cd8_t_cell,0.25187368985288067,26314,104473
45,sample00045,monocyte,0.12967943870665147,13548,104473
45,sample00045,nk_cell,0.16372651307036268,17105,104473
46,sample00046,b_cell,0.07307223047166866,7726,105731
46,sample00046,cd4_t_cell,0.27637116834230263,29221,105731
46,sample00046,cd8_t_cell,0.24076193358617623,25456,105731
46,sample00046,monocyte,0.24048765262789532,25427,105731
46,sample00046,nk_cell,0.16930701497195713,17901,105731
47,sample00047,b_cell,0.08837772397094432,8249,93338
47,sample00047,cd4_t_cell,0.40280485975701213,37597,93338
47,sample00047,cd8_t_cell,0.22033898305084745,20566,93338
47,sample00047,monocyte,0.17001649917504125,15869,93338
47,sample00047,nk_cell,0.11846193404615483,11057,93338
48,sample00048,b_cell,0.12976097663009376,13648,105178
48,sample00048,cd4_t_cell,0.2961645971591017,31150,105178
48,sample00048,cd8_t_cell,0.30961798094658577,32565,105178
48,sample00048,monocyte,0.1662419897697237,17485,105178
48,sample00048,nk_cell,0.09821445549449505,10330,105178
49,sample00049,b_cell,0.10925913522719662,11419,104513
49,sample00049,cd4_t_cell,0.2859261527274119,29883,104513
49,sample00049,cd8_t_cell,0.1991235540076354,20811,104513
49,sample00049,monocyte,0.19776487135571652,20669,104513
49,sample00049,nk_cell,0.20792628668203955,21731,104513
50,sample00050,b_cell,0.13251145496882746,14113,106504
50,sample00050,cd4_t_cell,0.30827011192067905,32832,106504
50,sample00050,cd8_t_cell,0.30704011116953356,32701,106504
50,sample00050,monocyte,0.12111282205363179,12899,106504
50,sample00050,nk_cell,0.13106549988732819,13959,106504
51,sample00051,b_cell,0.10982028385703682,9765,88918
51,sample00051,cd4_t_cell,0.28840054882026134,25644,88918
51,sample00051,cd8_t_cell,0.24316786252502307,21622,88918
51,sample00051,monocyte,0.21603050001124632,19209,88918
51,sample00051,nk_cell,0.14258080478643245,12678,88918
52,sample00052,b_cell,0.11592420420670822,11122,95942
52,sample00052,cd4_t_cell,0.22811698734652186,21886,95942
52,sample00052,cd8_t_cell,0.32017260428175354,30718,95942
52,sample00052,monocyte,0.2144733276354464,20577,95942
52,sample00052,nk_cell,0.12131287652956994,11639,95942
53,sample00053,b_cell,0.11925152569728148,11822,99135
53,sample00053,cd4_t_cell,0.3085388611489383,30587,99135
53,sample00053,cd8_t_cell,0.269834064659303,26750,99135
53,sample00053,monocyte,0.2274070711655823,22544,99135
53,sample00053,nk_cell,0.07496847732889494,7432,99135
54,sample00054,b_cell,0.07822206139557325,7782,99486
54,sample00054,cd4_t_cell,0.2653539191444022,26399,99486
54,sample00054,cd8_t_cell,0.2637054459924009,26235,99486
54,sample00054,monocyte,0.20849164706591883,20742,99486
54,sample00054,nk_cell,0.18422692640170477,18328,99486
55,sample00055,b_cell,0.11490566782443953,11645,101344
55,sample00055,cd4_t_cell,0.34449005367856017,34912,101344
55,sample00055,cd8_t_cell,0.22864698452794444,23172,101344
55,sample00055,monocyte,0.16007854436375119,16223,101344
55,sample00055,nk_cell,0.1518787496053047,15392,101344
56,sample00056,b_cell,0.11933608341182966,11022,92361
56,sample00056,cd4_t_cell,0.2671473890494906,24674,92361
56,sample00056,cd8_t_cell,0.20333257543768474,18780,92361
56,sample00056,monocyte,0.21755935946990612,20094,92361
56,sample00056,nk_cell,0.1926245926310889,17791,92361
57,sample00057,b_cell,0.1363934957301106,15157,111127
57,sample00057,cd4_t_cell,0.36810136150530476,40906,111127
57,sample00057,cd8_t_cell,0.1798932752616376,19991,111127
57,sample00057,monocyte,0.2143403493300458,23819,111127
57,sample00057,nk_cell,0.10127151817290128,11254,111127
58,sample00058,b_cell,0.11276703039666956,10510,93201
58,sample00058,cd4_t_cell,0.30644520981534534,28561,93201
58,sample00058,cd8_t_cell,0.21876374717009475,20389,93201
58,sample00058,monocyte,0.18714391476486303,17442,93201
58,sample00058,nk_cell,0.17488009785302733,16299,93201
59,sample00059,b_cell,0.16104604200323103,17545,108944
59,sample00059,cd4_t_cell,0.3031098546042003,33022,108944
59,sample00059,cd8_t_cell,0.22649250991335,24675,108944
59,sample00059,monocyte,0.17860552210309885,19458,108944
59,sample00059,nk_cell,0.13074607137611985,14244,108944
60,sample00060,b_cell,0.10658334460177334,11035,103534
60,sample00060,cd4_t_cell,0.3749203160314486,38817,103534
60,sample00060,cd8_t_cell,0.2067533370680163,21406,103534
60,sample00060,monocyte,0.1711225297969749,17717,103534
60,sample00060,nk_cell,0.14062047250178686,14559,103534
61,sample00061,b_cell,0.040260784138608556,4508,111970
61,sample00061,cd4_t_cell,0.34188621952308657,38281,111970
61,sample00061,cd8_t_cell,0.3113959096186478,34867,111970
61,sample00061,monocyte,0.16344556577654729,18301,111970
61,sample00061,nk_cell,0.14301152094310976,16013,111970
62,sample00062,b_cell,0.10563986314883614,10066,95286
62,sample00062,cd4_t_cell,0.22620321978045044,21554,95286
62,sample00062,cd8_t_cell,0.21098587410532502,20104,95286
62,sample00062,monocyte,0.2734609491425813,26057,95286
62,sample00062,nk_cell,0.18371009382280712,17505,95286
63,sample00063,b_cell,0.07702789014264425,7236,93940
63,sample00063,cd4_t_cell,0.3122737917819885,29335,93940
63,sample00063,cd8_t_cell,0.3449968064722163,32409,93940
63,sample00063,monocyte,0.15436448797104535,14501,93940
63,sample00063,nk_cell,0.1113370236321056,10459,93940
64,sample00064,b_cell,0.09307610173667832,10199,109577
64,sample00064,cd4_t_cell,0.30604050120006937,33535,109577
64,sample00064,cd8_t_cell,0.22670815955903154,24842,109577
64,sample00064,monocyte,0.22542139317557516,24701,109577
64,sample00064,nk_cell,0.1487538443286456,16300,109577
65,sample00065,b_cell,0.09102302315279984,8425,92559
65,sample00065,cd4_t_cell,0.26739701163582147,24750,92559
65,sample00065,cd8_t_cell,0.3056752989984767,28293,92559
65,sample00065,monocyte,0.2052204539807042,18995,92559
65,sample00065,nk_cell,0.13068421223219784,12096,92559
66,sample00066,b_cell,0.07505313001006673,8052,107284
66,sample00066,cd4_t_cell,0.3481413817531039,37350,107284
66,sample00066,cd8_t_cell,0.3292476044890198,35323,107284
66,sample00066,monocyte,0.11774355915141121,12632,107284
66,sample00066,nk_cell,0.12981432459639836,13927,107284
67,sample00067,b_cell,0.11036444246158994,11874,107589
67,sample00067,cd4_t_cell,0.2738198142932828,29460,107589
67,sample00067,cd8_t_cell,0.2241493089442229,24116,107589
67,sample00067,monocyte,0.1927427525118739,20737,107589
67,sample00067,nk_cell,0.19892368178903047,21402,107589
68,sample00068,b_cell,0.0952514853281328,10501,110245
68,sample00068,cd4_t_cell,0.3216290988253436,35458,110245
68,sample00068,cd8_t_cell,0.3065989387273799,33801,110245
68,sample00068,monocyte,0.20942446369449863,23088,110245
68,sample00068,nk_cell,0.0670960134246451,7397,110245
69,sample00069,b_cell,0.10665431358657147,11742,110094
69,sample00069,cd4_t_cell,0.31870038330880884,35087,110094
69,sample00069,cd8_t_cell,0.27998801024578995,30825,110094
69,sample00069,monocyte,0.17744836230857267,19536,110094
69,sample00069,nk_cell,0.11720893055025705,12904,110094
70,sample00070,b_cell,0.09362055530492557,9131,97532
70,sample00070,cd4_t_cell,0.32256080055776565,31460,97532
70,sample00070,cd8_t_cell,0.2181027765246278,21272,97532
70,sample00070,monocyte,0.202610425296313,19761,97532
70,sample00070,nk_cell,0.16310544231636795,15908,97532
71,sample00071,b_cell,0.05227813757185775,5029,96197
71,sample00071,cd4_t_cell,0.37436718400781727,36013,96197
71,sample00071,cd8_t_cell,0.20361341829786792,19587,96197
71,sample00071,monocyte,0.16603428381342453,15972,96197
71,sample00071,nk_cell,0.2037069763090325,19596,96197
72,sample00072,b_cell,0.09325627850832684,8730,93613
72,sample00072,cd4_t_cell,0.2401482700052343,22481,93613
72,sample00072,cd8_t_cell,0.28308034140557403,26500,93613
72,sample00072,monocyte,0.20617862903656545,19301,93613
72,sample00072,nk_cell,0.17733648104429942,16601,93613
73,sample00073,b_cell,0.09939179011992602,10426,104898
73,sample00073,cd4_t_cell,0.25272169154797997,26510,104898
73,sample00073,cd8_t_cell,0.27592518446490877,28944,104898
73,sample00073,monocyte,0.18653358500638717,19567,104898
73,sample00073,nk_cell,0.1854277488607981,19451,104898
74,sample00074,b_cell,0.14274872061757307,13166,92232
74,sample00074,cd4_t_cell,0.3653721051262035,33699,92232
74,sample00074,cd8_t_cell,0.20175210339144764,18608,92232
74,sample00074,monocyte,0.12143290831815422,11200,92232
74,sample00074,nk_cell,0.16869416254662156,15559,92232
75,sample00075,b_cell,0.13828537593949058,14480,104711
75,sample00075,cd4_t_cell,0.3165760999321943,33149,104711
75,sample00075,cd8_t_cell,0.25269551432036746,26460,104711
75,sample00075,monocyte,0.14935393607166392,15639,104711
75,sample00075,nk_cell,0.14308907373628368,14983,104711
76,sample00076,b_cell,0.1124917118540923,12385,110097
76,sample00076,cd4_t_cell,0.339155471992879,37340,110097
76,sample00076,cd8_t_cell,0.2158460266855591,23764,110097
76,sample00076,monocyte,0.18989618245728768,20907,110097
76,sample00076,nk_cell,0.14261060701018194,15701,110097
77,sample00077,b_cell,0.09107291903786327,9602,105432
77,sample00077,cd4_t_cell,0.40336899613020716,42528,105432
77,sample00077,cd8_t_cell,0.17778283633052583,18744,105432
77,sample00077,monocyte,0.17030882464526897,17956,105432
77,sample00077,nk_cell,0.15746642385613477,16602,105432
78,sample00078,b_cell,0.05212804420176325,5623,107869
78,sample00078,cd4_t_cell,0.24896865642584987,26856,107869
78,sample00078,cd8_t_cell,0.3057690346624146,32983,107869
78,sample00078,monocyte,0.2193679370347366,23663,107869
78,sample00078,nk_cell,0.1737663276752357,18744,107869
79,sample00079,b_cell,0.05840770433116523,5792,99165
79,sample00079,cd4_t_cell,0.3239348560480008,32123,99165
79,sample00079,cd8_t_cell,0.32281550950436144,32012,99165
79,sample00079,monocyte,0.18601321030605555,18446,99165
79,sample00079,nk_cell,0.10882871981041699,10792,99165
80,sample00080,b_cell,0.05765353557512509,5519,95727
80,sample00080,cd4_t_cell,0.3239107043989679,31007,95727
80,sample00080,cd8_t_cell,0.2385324934449006,22834,95727
80,sample00080,monocyte,0.1976140482831385,18917,95727
80,sample00080,nk_cell,0.1822892182978679,17450,95727
81,sample00081,b_cell,0.10285573397937525,9595,93286
81,sample00081,cd4_t_cell,0.3349377184143387,31245,93286
81,sample00081,cd8_t_cell,0.20303153742255,18940,93286
81,sample00081,monocyte,0.20286002186823318,18924,93286
81,sample00081,nk_cell,0.15631498831550286,14582,93286
82,sample00082,b_cell,0.05869096325527861,6068,103389
82,sample00082,cd4_t_cell,0.2954763079244407,30549,103389
82,sample00082,cd8_t_cell,0.30167619379237637,31190,103389
82,sample00082,monocyte,0.17102399675013782,17682,103389
82,sample00082,nk_cell,0.1731325382777665,17900,103389
83,sample00083,b_cell,0.08279504091022416,7306,88242
83,sample00083,cd4_t_cell,0.269282201219374,23762,88242
83,sample00083,cd8_t_cell,0.26295868180684934,23204,88242
83,sample00083,monocyte,0.19863557036331905,17528,88242
83,sample00083,nk_cell,0.18632850570023346,16442,88242
84,sample00084,b_cell,0.10384367405644002,10469,100815
84,sample00084,cd4_t_cell,0.28110896196002577,28340,100815
84,sample00084,cd8_t_cell,0.24794921390666072,24997,100815
84,sample00084,monocyte,0.18728363834746814,18881,100815
84,sample00084,nk_cell,0.17981451172940535,18128,100815
85,sample00085,b_cell,0.13428643872754578,13770,102542
85,sample00085,cd4_t_cell,0.25568059916912095,26218,102542
85,sample00085,cd8_t_cell,0.3158120574983909,32384,102542
85,sample00085,monocyte,0.12587037506582668,12907,102542
85,sample00085,nk_cell,0.16835052953911567,17263,102542
86,sample00086,b_cell,0.11816115898115709,12479,105610
86,sample00086,cd4_t_cell,0.29803048953697564,31475,105610
86,sample00086,cd8_t_cell,0.17365779755704952,18340,105610
86,sample00086,monocyte,0.15778808824921883,16664,105610
86,sample00086,nk_cell,0.2523624656755989,26652,105610
87,sample00087,b_cell,0.06184064559632828,5686,91946
87,sample00087,cd4_t_cell,0.29199747677984905,26848,91946
87,sample00087,cd8_t_cell,0.23809627389989776,21892,91946
87,sample00087,monocyte,0.27294281426054423,25096,91946
87,sample00087,nk_cell,0.1351227894633807,12424,91946
88,sample00088,b_cell,0.06765816065741359,6883,101732
88,sample00088,cd4_t_cell,0.30744505170447844,31277,101732
88,sample00088,cd8_t_cell,0.2342527424999017,23831,101732
88,sample00088,monocyte,0.20394762709865136,20748,101732
88,sample00088,nk_cell,0.18669641803955492,18993,101732
89,sample00089,b_cell,0.13453775950629712,14432,107271
89,sample00089,cd4_t_cell,0.29604459732826205,31757,107271
89,sample00089,cd8_t_cell,0.22120610416608402,23729,107271
89,sample00089,monocyte,0.20567534561997183,22063,107271
89,sample00089,nk_cell,0.14253619337938492,15290,107271
90,sample00090,b_cell,0.13189950141753837,13492,102290
90,sample00090,cd4_t_cell,0.26159937432789127,26759,102290
90,sample00090,cd8_t_cell,0.20031283605435526,20490,102290
90,sample00090,monocyte,0.22923061882882,23448,102290
90,sample00090,nk_cell,0.17695766937139507,18101,102290
91,sample00091,b_cell,0.04534201446421957,4652,102598
91,sample00091,cd4_t_cell,0.3292656776935223,33782,102598
91,sample00091,cd8_t_cell,0.29716953546852765,30489,102598
91,sample00091,monocyte,0.15390163550946412,15790,102598
91,sample00091,nk_cell,0.17432113686426637,17885,102598
92,sample00092,b_cell,0.06620881785081417,7510,113429
92,sample00092,cd4_t_cell,0.3274030450766559,37137,113429
92,sample00092,cd8_t_cell,0.2023732907810172,22955,113429
92,sample00092,monocyte,0.20513272619876752,23268,113429
92,sample00092,nk_cell,0.19888212009274525,22559,113429
93,sample00093,b_cell,0.07954962224015256,8676,109064
93,sample00093,cd4_t_cell,0.30514193501063597,33280,109064
93,sample00093,cd8_t_cell,0.20990427638817574,22893,109064
93,sample00093,monocyte,0.15353370498056187,16745,109064
93,sample00093,nk_cell,0.25187046138047386,27470,109064
94,sample00094,b_cell,0.13163195462990124,13462,102270
94,sample00094,cd4_t_cell,0.23273687298327955,23802,102270
94,sample00094,cd8_t_cell,0.19446563019458296,19888,102270
94,sample00094,monocyte,0.2531045272318373,25885,102270
94,sample00094,nk_cell,0.18806101496039895,19233,102270
95,sample00095,b_cell,0.05259934895413672,4896,93081
95,sample00095,cd4_t_cell,0.19065115329659113,17746,93081
95,sample00095,cd8_t_cell,0.31179295452347955,29022,93081
95,sample00095,monocyte,0.29907285052803473,27838,93081
95,sample00095,nk_cell,0.14588369269775786,13579,93081
96,sample00096,b_cell,0.08059505538194123,8717,108158
96,sample00096,cd4_t_cell,0.28705227537491446,31047,108158
96,sample00096,cd8_t_cell,0.2715379352428854,29369,108158
96,sample00096,monocyte,0.2359141256310213,25516,108158
96,sample00096,nk_cell,0.1249006083692376,13509,108158
